orgnid,keyword1,keyword2
201016,7,157
201016,7,49
100073,11,990
100073,10,306
100073,1,174
100073,31,423
100296,3,26
100296,9,156
100296,33,630
100296,33,864
100296,5,5442
100296,7,349
100296,7,1366
100296,1,537
100296,6,100
100296,3,27
100296,31,59
100296,7,181
100296,11,989
100296,7,896
100296,10,816
100296,7,89
100296,3,11738
100044,9,1816
100044,31,826
201180,10,7171
100114,1,16455
100114,9,416
100113,10,70
100113,3,28
100113,9,743
100113,4,406
100113,11,18256
100113,7,190
201149,1,532
201149,9,260
201149,9,207
201149,10,1493
201149,9,1115
201149,10,3284
201149,31,721
100391,10,5177
100391,10,748
100391,9,4713
100391,1,12042
100391,11,615
100391,1,73
100330,31,2320
100330,31,64
100330,10,1147
100330,31,904
100461,31,463
100461,31,317
100453,31,300
100453,31,64
100453,10,264
100453,10,300
100453,3,20
100453,3,28
200625,1,1080
200625,1,917
100057,1,4158
100057,1,12358
100057,1,323
100181,33,337
201361,31,64
201361,10,177
201361,1,1862
201361,11,27
201361,3,19211
201361,31,2598
201361,3,18
201393,6,39
100241,31,76
100241,1,1919
100241,9,54
100241,1,231
100241,31,7894
201214,11,183
201214,7,223
201214,31,4576
201214,31,779
201214,7,125
201214,31,291
201214,3,1327
201214,7,40
201214,4,237
201214,1,342
201214,31,192
400018,5,5205
400018,6,19929
400018,7,3452
400018,6,27
400018,7,14
400018,7,818
100152,7,202
100152,31,78
100152,33,103
100152,6,2104
100152,3,110
100152,3,34
100152,7,50
100152,9,2041
100152,1,1701
201260,10,609
201260,10,1956
201260,10,265
201260,1,2677
201260,10,21
201260,9,2797
201260,10,203
201260,1,85
201260,1,523
201260,9,8820
100063,9,378
100081,1,677
100219,5,6
100219,31,160
100219,3,69
100219,7,2117
100219,10,192
100027,7,299
100404,9,257
100111,31,240
200654,10,198
200654,10,2387
201016,3,7
201016,7,248
201016,7,1299
100296,4,418
100296,7,86
100296,3,53
100044,31,851
100044,9,1405
100044,31,1528
201180,31,240
100114,1,1164
100113,7,58
201149,10,334
201149,10,696
201149,31,1703
100391,31,745
100330,24,31
100461,3,11
100453,6,19
100453,7,14
200625,1,641
200625,7,759
100057,9,661
100181,31,267
100181,1,514
201393,31,2082
201393,3,2006
201393,1,2090
100241,31,38
201214,11,4559
400018,1,18708
400018,3,349
100152,5,739
100152,7,759
100152,3,49
100152,6,295
100152,7,13
100081,6,28
100219,9,543
100027,6,569
100027,1,231
100027,1,5094
100027,3,89
