YEAR,keyword1,keyword2,keyword3
2005,10,748,1762
2005,9,4713,6656
2005,1,12042,19323
2005,11,615,2601
2005,1,73,268
2005,31,64,194
2005,10,1147,5651
2005,31,904,2403
2005,31,463,554
2005,31,317,605
2005,31,300,745
2005,31,64,745
2005,10,264,5380
2005,10,300,721
2005,3,20,1119
2005,3,28,1383
2005,1,4158,10887
2005,33,337,2563
2005,31,64,72
2005,11,27,3389
2005,6,97,111
2005,31,2598,15327
2005,3,18,22
2005,6,39,15621
2005,31,76,290
2005,9,54,278
2005,1,231,13681
2005,11,183,1855
2005,31,779,1103
2005,7,125,284
2005,7,125,15900
2005,31,291,13423
2005,3,1327,8852
2005,7,40,738
2005,4,237,437
2005,31,192,563
2005,11,75,223
2005,5,5205,6354
2005,7,3452,5186
2005,6,27,188
2005,7,14,75
2005,7,818,9921
2005,7,202,12710
2005,33,103,185
2005,6,2104,4660
2005,3,110,158
2005,3,34,188
2005,7,50,498
2005,10,609,918
2005,10,1956,3089
2005,10,265,5111
2005,1,2677,9857
2005,10,21,221
2005,10,203,698
2005,1,85,523
2005,1,523,2458
2005,9,378,979
2005,1,677,1076
2005,5,6,92
2005,31,160,934
2005,3,69,123
2005,10,192,18709
2006,7,299,502
2006,9,257,8700
2006,31,240,10349
2006,10,198,871
2006,10,2387,7402
2006,3,7,39
2006,7,248,367
2006,4,418,2170
2006,7,86,818
2006,3,53,312
2006,3,25,8224
2006,31,851,14954
2006,9,1405,1816
2006,1,1164,14937
2006,7,58,381
2006,10,696,4153
2006,31,1703,2477
2006,31,745,6714
2006,10,264,1147
2006,24,31,240
2006,3,11,102
2006,6,19,1299
2006,7,14,135
2006,31,300,11279
2006,1,641,688
2006,1,514,2251
2006,10,126,177
2006,31,2082,6890
2006,1,2090,5038
2006,31,38,693
2006,11,4559,14620
2006,3,349,2290
2006,5,739,4969
2006,7,759,1403
2006,3,49,169
2006,6,295,2104
2006,7,13,1943
2006,6,28,286
2006,9,543,8581
2007,1,231,268
2007,1,5094,8840
2007,3,89,735
2007,7,58,218
2007,6,171,349
2007,6,37,13568
2007,1,4984,6167
2007,3,354,421
2007,11,170,183
2007,11,2109,2148
2007,7,75,11077
2007,11,8654,15751
2007,11,988,2904
2007,6,122,830
2007,5,40,122
2007,9,280,17577
2007,10,104,6367
2007,7,86,1117
2007,5,75,223
2007,1,140,231
2007,7,182,4466
2007,9,6972,7092
2007,10,21,342
2007,10,374,1639
2007,4,14,95
2007,10,374,2513
2007,1,3942,6720
2007,7,248,367
2007,1,801,1953
2007,4,118,16602
2007,3,495,6431
2007,3,170,292
2007,11,183,4909
2007,11,644,2884
2007,7,5886,8093
2007,5,2125,7437
2007,10,14719,15438
2007,11,55,1855
2007,3,421,778
2007,33,497,11346
2007,31,62,376
2007,4,418,1790
2007,3,559,2873
2007,31,685,4576
2007,3,23,44
2007,24,31,391
2007,2,3,4124
2007,10,959,5513
2007,10,1528,2856
2007,9,31,15219
2007,10,650,13365
2007,9,403,452
2007,9,278,7678
2007,1,2053,4158
2007,33,150,439
2007,3,349,4090
2007,7,8144,14975
2007,5,53,6205
2007,4,110,126
2007,1,3515,5902
2007,3,147,1156
2007,1,1345,9626
2007,33,414,2012
2007,7,24,53
2007,10,110,787
2007,21,31,342
2007,7,182,1599
2007,1,3044,5845
2007,31,64,16095
2007,31,129,2556
2007,10,706,1222
2007,11,166,183
2007,10,266,1147
2007,10,25,4112
2007,31,240,904
2007,5,9644,13830
2007,1,1534,7808
2007,31,64,573
2007,3,22,121
2007,7,19,157
2007,10,264,863
2007,10,555,766
2007,7,14,110
2007,31,553,745
2007,9,452,621
2007,31,5174,11279
2007,33,1196,2377
2007,1,917,1145
2007,31,72,317
2007,1,302,5807
2007,9,693,1082
2007,1,46,3772
2007,9,958,8509
2007,31,779,3791
2007,9,776,2346
2007,9,2488,3368
2007,4,121,1752
2007,3,8225,9678
2007,1,102,5582
2007,5,1002,1710
2007,4,237,1025
2007,10,104,800
2007,3,69,75
2007,10,104,721
2007,25,33,219
2007,3,168,336
2007,4,23,5514
2007,11,47,3201
2007,3,102,890
2007,3,1358,2426
2007,7,418,7909
2007,10,1667,5185
2007,1,281,323
2007,9,1747,3370
2007,6,19,299
2007,6,28,97
2007,11,1050,2954
2007,7,75,130
2007,6,23,25
2007,10,698,2856
2007,31,400,1715
2007,11,191,1522
2007,7,237,759
2007,1,1283,11577
2007,1,356,505
2007,5,739,4344
2007,1,397,2069
2007,31,291,1031
2007,5,7,199
2007,7,1117,2071
2007,10,4383,4911
2007,10,182,1743
2007,31,1031,1359
2007,3,437,1351
2007,9,4810,7434
2007,10,126,3716
2007,1,73,2923
2007,7,292,2015
2007,10,2437,16257
2007,1,323,16511
2007,31,2135,16433
2007,1,789,11164
2007,10,956,2437
2007,9,2321,3655
2007,7,86,120
2007,9,2659,2823
2007,10,31,6231
2007,10,1298,2000
2007,10,317,871
2007,1,638,849
2007,6,1840,13761
2007,9,1023,7313
2007,9,46,3178
2007,3,20,4298
2007,6,162,1706
2007,11,10132,16900
2007,9,302,3264
2007,11,15,527
2007,9,416,561
2007,3,25,1022
2008,3,171,233
2008,31,252,256
2008,7,546,1331
2008,41,1421,1433
2008,7,15,58
2008,10,455,2573
2008,9,1619,2726
2008,9,6943,19918
2008,10,995,2085
2008,3,69,364
2008,5,14,934
2008,7,19,4903
2008,10,178,4451
2008,9,82,4796
2008,3,358,825
2008,11,170,183
2008,33,460,1402
2008,6,42,910
2008,4,102,176
2008,3,482,720
2008,6,23,439
2008,7,67,15107
2008,5,41,5186
2008,5,122,318
2008,3,18,15184
2008,4,18,251
2008,1433,7165,19922
2008,1,10936,12465
2008,7,134,15107
2008,11,103,1522
2008,11,7349,14530
2008,9,661,743
2008,10,129,161
2008,31,1883,10781
2008,5,77,223
2008,31,4400,8505
2008,24,31,400
2008,9,4578,5922
2008,1,6206,13424
2008,7,95,8992
2008,8,204,526
2008,11,1855,2264
2008,3,49,188
2008,11,152,1585
2008,5,35,3432
2008,2,160,888
2008,33,150,316
2008,1,629,5079
2008,7,1064,2934
2008,3,20,22
2008,7,15,39
2008,6,36,71
2008,2,22,262
2008,2,35,1138
2008,3,5,134
2008,3,421,495
2008,31,2202,2477
2008,2,3,92
2008,2,92,441
2008,7,1339,7834
2008,11,15,27
2008,11,58,131
2008,3,312,653
2008,3,89,153
2008,7,44,3210
2008,10,4995,14738
2008,8,38,807
2008,1,1992,3211
2008,5,644,652
2008,9,284,500
2008,1,46,1224
2008,9,250,19810
2008,9,2797,6261
2008,1,1288,6397
2008,1,353,2068
2008,1,1992,6690
2008,10,511,586
2008,1,1302,4783
2008,11,270,985
2008,11,1131,9585
2008,3,28,93
2008,3,168,361
2008,2,127,673
2008,3,69,294
2008,6,75,201
2008,3,124,615
2008,3,7,5821
2008,7,1798,7891
2008,9,1143,1497
2008,9,1904,2312
2008,7,292,7734
2008,10,181,1196
2008,1,2661,4608
2008,3,96,15052
2008,6,23,349
2008,10,70,266
2008,10,1793,2645
2008,10,38,461
2008,31,160,338
2008,5,7654,15182
2008,7,3202,12311
2008,7,62,118
2008,9,924,8916
2008,9,8916,12295
2008,10,167,511
2008,9,676,2394
2008,7,977,17664
2008,24,31,516
2008,5,117,209
2008,7,158,318
2008,11,113,269
2008,7,2619,4354
2008,7,9572,16462
2008,10,942,6511
2008,10,448,4899
2008,8,211,463
2008,31,210,11279
2008,5,129,591
2008,6,115,1614
