orgnid,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8
100112,47597,14263,527,,,,,
100112,147328,,,,,,,
100112,119416,167908,661,,,,,
100112,80041,157089,,,,,,
100112,189702,9142,146368,,,,,
100112,26841,29617,2231,,,,,
100112,194534,122952,105514,,,,,
100112,181385,6253,,,,,,
100112,52105,860,116395,,,,,
100112,174348,8563,186160,,,,,
100112,4963,2594,55334,,,,,
100112,199129,5054,1,,,,,
200654,119,2898,,,,,,
200654,3496,28543,,,,,,
200654,808,6720,23841,,,,,
200654,52650,1819,104238,,,,,
200654,1857,14370,661,,,,,
200654,51353,62610,70377,,,,,
200654,96629,14191,53030,,,,,
200654,1444,83571,68882,,,,,
200654,112830,231,2793,,,,,
200654,36581,32814,10322,,,,,
200654,4371,5723,30384,,,,,
200654,93150,793,908,,,,,
200654,3076,2334,1787,,,,,
200654,766,146709,197307,,,,,
200654,849,7404,146767,,,,,
200654,229171,11983,173735,,,,,
200654,191786,160702,,,,,,
200654,17680,187156,219257,,,,,
200654,162495,29,,,,,,
200654,38921,140843,,,,,,
200654,379,107545,29,,,,,
200654,188533,129693,,,,,,
200654,6166,110322,142550,,,,,
200654,8209,352,126313,,,,,
200654,121539,1564,67539,,,,,
200654,3076,2334,1787,,,,,
200654,3249,64440,,,,,,
200654,9089,222309,111902,,,,,
200654,190360,24609,195057,,,,,
200654,107948,1192,17238,,,,,
200654,8455,95853,21,,,,,
200654,1219,153675,28616,,,,,
200654,3971,13150,1738,,,,,
200654,15173,1638,136687,,,,,
200654,193368,182917,7674,,,,,
200654,57068,250,805,,,,,
200654,204,7102,116602,,,,,
200654,168798,3354,64,1528,,,,
200654,30,133810,114358,,,,,
200654,118519,217228,19565,,,,,
200654,1341,17816,104679,,,,,
200654,75881,8440,,,,,,
200654,8455,5489,21,104,,,,
200654,27305,170146,14368,,,,,
200654,33391,4509,56964,,,,,
200654,177127,13961,134845,,,,,
200654,6790,1936,213528,,,,,
200654,1355,178502,,,,,,
200654,7209,12568,204545,,,,,
200654,65803,114,14802,,,,,
200654,83274,179990,98252,,,,,
200654,161634,9750,20882,,,,,
200654,136966,20999,196680,,,,,
200654,137376,2718,,,,,,
200654,22167,44433,5091,,,,,
200654,60764,138,35584,,,,,
200654,210361,162199,111977,,,,,
200654,16144,206868,111899,,,,,
200654,97092,3026,8672,,,,,
200654,27305,30288,13338,,,,,
200654,3577,22085,1671,,,,,
200654,50327,21,53615,,,,,
200654,166364,118830,1,,,,,
200654,143644,,,,,,,
200654,4015,7472,163888,,,,,
200654,2905,6974,13744,,,,,
201016,119676,70902,198730,,,,,
201016,374,40119,22843,,,,,
201016,183,21878,3113,,,,,
201016,80087,163115,157,,,,,
201016,52761,178731,50873,,,,,
201016,175600,8608,13176,,,,,
201016,250,120587,1863,,,,,
201016,29002,64,194,,,,,
201016,80587,8681,,,,,,
201016,226941,6527,2422,,,,,
201016,551,595,12355,,,,,
201016,196781,171510,68381,,,,,
201016,50448,3302,219786,,,,,
201016,2214,29513,,,,,,
201016,186240,131755,11,,,,,
201016,127533,178321,17246,,,,,
201016,33719,2898,,,,,,
201016,22541,149674,,,,,,
201016,116477,196134,69276,,,,,
201016,205086,156,44612,,,,,
201016,2422,214078,165693,,,,,
201016,25385,8778,2012,,,,,
201016,130330,,,,,,,
201016,1456,146132,3366,,,,,
201016,167877,9792,5651,,,,,
201016,181,170,13652,,,,,
201016,134798,19822,10581,,,,,
201016,20704,30807,,,,,,
201016,94649,96062,31021,,,,,
201016,84755,169007,3541,,,,,
201016,195502,12016,3815,,,,,
201016,748,10,149160,343,,,,
201016,14,3303,197812,,,,,
201016,19877,225798,13410,,,,,
201016,8608,131148,24890,,,,,
201016,28,39,3029,,,,,
201016,122,23,224298,,,,,
201016,8093,3029,198314,,,,,
201016,5637,7855,101349,,,,,
201016,97,2004,133554,,,,,
201016,4660,4345,205708,,,,,
201016,3628,215951,,,,,,
201016,2045,192139,149811,,,,,
201016,60015,27750,28359,,,,,
201016,189320,87527,,,,,,
201016,2137,2308,13795,,,,,
201016,99995,111864,78069,,,,,
201016,46324,7360,3381,,,,,
201016,46140,7679,756,,,,,
201016,14559,111466,2131,,,,,
201016,66934,45225,264,,,,,
201016,3120,771,4690,,,,,
201016,70,1287,3120,,,,,
201016,172264,365,,,,,,
201016,158236,7,177980,,,,,
201016,23468,9277,175713,,,,,
201016,4564,20880,9076,,,,,
201016,3694,11572,101899,,,,,
201016,10009,1764,220093,,,,,
201016,188,15552,39,,,,,
201016,10440,2013,55248,,,,,
201016,86171,3263,99706,,,,,
201016,197243,2934,216760,,,,,
201016,200350,105210,128526,,,,,
201016,83722,156307,8984,,,,,
201016,80061,137735,18821,,,,,
201016,220236,89262,89469,,,,,
100073,16890,86789,,,,,,
100073,165696,1942,1927,,,,,
100073,130687,135971,,,,,,
100073,100235,39551,52295,,,,,
100073,51362,204205,128421,,,,,
100073,59253,33791,438,,,,,
100073,33066,343,82153,,,,,
100073,216,3904,184,,,,,
100073,29426,193842,45071,,,,,
100073,221490,31645,17771,,,,,
100073,3476,120,15705,,,,,
100073,21948,35705,225458,,,,,
100073,130059,156413,173585,,,,,
100073,58650,2598,19564,,,,,
100073,1356,56445,13536,,,,,
100073,220401,83400,1087,,,,,
100073,128588,2048,2334,,,,,
100073,69070,200524,139784,,,,,
100073,56206,651,10171,,,,,
100073,1410,136422,1,,,,,
100073,49965,1063,45768,,,,,
100296,203480,74880,78296,,,,,
100296,9536,723,17038,,,,,
100296,33364,6213,14388,,,,,
100296,23,6760,233,,,,,
100296,181742,114445,127887,,,,,
100296,80881,12467,62594,,,,,
100296,1091,35489,2004,,,,,
100296,206836,2017,54779,,,,,
100296,1011,67773,92,,,,,
100296,4264,9,25273,,,,,
100296,28695,196351,122417,,,,,
100296,574,5212,24332,,,,,
100296,6586,9888,28818,,,,,
100296,154595,167806,27406,,,,,
100296,100469,173595,74061,,,,,
100296,3375,152156,18419,,,,,
100296,5947,211,58551,,,,,
100296,489,22215,97690,,,,,
100296,5303,525,1279,,,,,
100296,115228,63994,,,,,,
100296,2583,69682,1212,,,,,
100296,103312,551,54522,,,,,
100296,18920,177334,47205,,,,,
100296,28463,914,80973,,,,,
100296,7236,36476,286,,,,,
100296,196300,6527,745,,,,,
100296,179405,5974,22248,,,,,
100296,13262,23633,208784,,,,,
100296,28575,56777,39607,,,,,
100296,39,7,615,,,,,
100296,2491,7,1790,,,,,
100296,95791,143149,110901,,,,,
100296,138733,699,3300,,,,,
100296,859,4832,181882,,,,,
100296,170452,212567,49291,,,,,
100296,164923,48468,84258,,,,,
100296,109387,46790,153671,,,,,
100296,183723,22900,1659,,,,,
100296,3813,102,84321,,,,,
100296,9643,749,,,,,,
100296,31143,63426,164959,,,,,
100296,69153,65484,113205,,,,,
100296,18363,28916,27,,,,,
100296,191269,22447,219471,,,,,
100296,605,1936,,,,,,
100296,671,145432,184215,,,,,
100296,32057,11663,52471,,,,,
100296,94579,6554,111412,,,,,
100296,226282,4045,15041,,,,,
100296,2905,1446,9353,,,,,
100296,134207,3416,738,,,,,
100296,150400,466,86836,,,,,
100296,31622,1636,341,,,,,
100296,59409,1177,3898,,,,,
100296,150181,6201,702,,,,,
100296,181386,122909,147865,,,,,
100296,186479,33874,413,,,,,
100296,927,10379,3181,,,,,
100296,1929,3827,605,,,,,
100296,6633,36565,132,,,,,
100296,225439,82115,851,,,,,
100296,216158,6093,,,,,,
100296,168595,,,,,,,
100296,163516,600,207007,,,,,
100296,17762,1684,,,,,,
100296,223823,172850,31650,,,,,
100296,28055,61,,,,,,
100296,381,38575,205218,,,,,
100296,58301,70317,52436,,,,,
100296,31270,14848,908,,,,,
100296,53714,176318,3675,,,,,
100296,1443,18765,198,,,,,
100296,5132,6,28,,,,,
100296,31622,16,6442,,,,,
100296,3439,43165,8574,,,,,
100296,209853,286,182761,,,,,
100296,15554,144562,32716,,,,,
100296,42298,228848,15669,,,,,
100296,149472,77,348,,,,,
100296,120624,132639,17173,,,,,
100296,76909,179440,10869,,,,,
100296,59496,127657,,,,,,
100296,2110,120266,40,,,,,
100296,156,206404,,,,,,
100296,22631,60244,212180,,,,,
100296,156223,14950,85335,,,,,
100296,4493,146067,5878,,,,,
100296,4493,16890,150872,,,,,
100296,121017,184072,61127,,,,,
100296,135178,13265,49141,,,,,
100296,135629,158097,3893,,,,,
100296,11473,213111,225932,,,,,
100296,197331,16914,56602,,,,,
100296,193896,131782,64914,,,,,
100296,19656,16414,19788,,,,,
100296,101347,173847,,,,,,
100296,87185,121819,123097,,,,,
100296,172614,182,54499,,,,,
100296,862,121,25,,,,,
100296,47091,16605,,,,,,
100296,27534,551,,,,,,
100296,95837,679,7091,,,,,
100296,111,993,1569,,,,,
100296,84949,5724,203907,,,,,
100296,881,45330,16890,,,,,
100296,222326,25,71,,,,,
100296,12226,92154,192086,,,,,
100296,108151,7643,205030,,,,,
100296,3380,174607,53124,,,,,
100296,356,50316,41754,,,,,
100296,1479,81092,95753,,,,,
100296,12979,73290,356,,,,,
100296,,,,,,,,
100296,6181,140,1100,,,,,
100296,9496,337,16432,,,,,
100296,561,20423,491,,,,,
100296,101,228875,192893,,,,,
100296,52511,511,529,,,,,
100296,769,525,54114,,,,,
100296,141715,1033,,,,,,
100296,112432,30432,,,,,,
100296,28575,56777,39607,,,,,
100296,7236,164832,836,,,,,
100296,186602,3635,,,,,,
100296,38554,22530,182,,,,,
100296,489,144862,201729,,,,,
100296,10,181398,104,,,,,
100296,304,2200,59424,,,,,
100296,58603,174967,173588,,,,,
100296,30569,17865,164596,,,,,
100296,23349,70514,28025,77828,,,,
100296,155399,176,1081,,,,,
100296,5280,95459,839,,,,,
100296,79365,20,,,,,,
100296,62237,3309,154240,,,,,
100296,33364,6213,14388,,,,,
100296,194381,4586,92609,,,,,
100296,231,69991,181806,,,,,
100296,226732,1287,405,,,,,
100296,5700,192332,9330,,,,,
100296,163622,95801,8686,,,,,
100296,216290,204389,33215,,,,,
100296,204265,174959,130276,,,,,
100296,10770,27800,116273,,,,,
100296,4588,6774,150279,,,,,
100296,60902,201600,12843,,,,,
100296,78951,181585,888,,,,,
100296,13286,1134,9833,,,,,
100296,17273,222502,740,,,,,
100296,60882,10524,,,,,,
100296,55049,,,,,,,
100296,13933,201615,8176,,,,,
100296,6220,7717,131,,,,,
100296,26751,220496,1773,,,,,
100296,122622,6828,147985,,,,,
100296,1115,6806,,,,,,
100296,134,185337,6295,,,,,
100296,26239,110742,164780,,,,,
100296,213535,159192,,,,,,
100296,161,41891,139199,,,,,
100296,16722,58723,214323,,,,,
100296,31,2570,846,,,,,
100296,117476,,,,,,,
100296,66207,188605,4961,,,,,
100296,144048,145797,71081,,,,,
100296,12521,647,22503,,,,,
100044,203144,22648,61,,,,,
100044,26996,1753,539,,,,,
100044,13734,114200,146381,,,,,
100044,11035,25300,809,,,,,
100044,191114,426,80,,,,,
100044,214623,47619,,,,,,
100044,168384,15449,55205,,,,,
100044,150513,181531,98817,,,,,
100044,2060,5169,531,,,,,
100044,109227,178769,59,,,,,
100044,5707,467,16,,,,,
100044,78134,94440,5663,,,,,
100044,219814,111,6224,,,,,
100044,145332,1976,166,,,,,
100044,120964,6177,28563,,,,,
100044,11961,21996,357,,,,,
100044,98704,400,31,,,,,
100044,151346,155440,192619,,,,,
100044,70294,129768,146947,,,,,
100044,4714,100,5445,,,,,
100044,513,162885,,,,,,
100044,177606,198226,9816,,,,,
100044,791,135137,719,,,,,
100044,32600,167090,383,,,,,
100044,82410,13542,11472,,,,,
100044,123341,166755,71616,,,,,
100044,513,260,59432,,,,,
100044,4453,4705,2401,,,,,
100044,5169,48454,9521,,,,,
100044,96020,111757,40832,,,,,
100044,155679,10720,10105,,,,,
100044,158965,12263,161,,,,,
201180,12088,9531,190881,,,,,
201180,9817,1731,12648,,,,,
201180,403,101,227238,,,,,
201180,95056,81444,1613,,,,,
201180,11676,11170,66404,,,,,
201180,210769,68687,116966,,,,,
201180,70231,362,987,,,,,
201180,138954,210344,106572,,,,,
201180,5472,209011,189288,,,,,
201180,31602,8858,19422,,,,,
201180,2419,13100,3349,,,,,
201180,46857,39134,,,,,,
201180,56537,6348,179499,,,,,
100114,13005,491,6656,,,,,
100114,110227,16155,6047,,,,,
100114,30,4543,219509,,,,,
100114,216755,135400,,,,,,
100114,22551,129319,5463,,,,,
100114,75001,,,,,,,
100114,1021,2227,53240,,,,,
100114,22609,176093,183225,,,,,
100114,111820,202722,79180,,,,,
100114,197438,16088,1,,,,,
100114,7844,128,606,,,,,
100114,21503,39430,1464,,,,,
100114,30,17916,191300,,,,,
100114,4583,197920,138439,,,,,
100114,92939,36656,101,,,,,
100114,2625,1078,72218,,,,,
100114,177271,22292,777,,,,,
100114,100098,287,85,,,,,
100114,89988,210492,8769,,,,,
100114,3523,124915,151956,,,,,
100114,23554,15203,802,,,,,
100114,155879,3543,2625,,,,,
100114,152972,598,1,,,,,
100114,117636,25647,80,,,,,
100114,2274,29100,80288,,,,,
100114,5244,118107,,,,,,
100114,172200,136878,181310,,,,,
100114,10558,126134,760,,,,,
100114,67189,467,115298,,,,,
100114,86169,132410,19744,,,,,
100114,533,14695,6759,,,,,
100114,465,8140,278,,,,,
100114,4047,5690,9096,,,,,
100114,465,8140,278,,,,,
100114,1927,49953,3472,,,,,
100114,13933,5930,49982,,,,,
100114,111911,149643,5057,,,,,
100114,31355,134402,17893,,,,,
100070,4739,40347,9316,,,,,
100070,63668,127978,1953,,,,,
100070,203394,96021,490,,,,,
100070,2413,76257,10267,,,,,
100070,32085,185732,151932,,,,,
100070,92795,1783,490,,,,,
100070,2092,64,3122,,,,,
100070,195168,378,56643,,,,,
100070,29233,21597,175464,,,,,
100070,223574,50323,35267,,,,,
100070,200951,1868,4676,,,,,
100070,75031,100029,3647,,,,,
100070,12840,46893,40,,,,,
100070,94977,148659,189076,,,,,
100070,80363,93003,1,,,,,
100070,18320,167,,,,,,
100070,150646,22351,169866,,,,,
100070,201387,208534,,,,,,
100070,29265,54926,3960,,,,,
100070,182063,1616,61848,,,,,
100070,1479,99277,1437,,,,,
100113,27003,89150,56176,,,,,
100113,186334,120730,5678,,,,,
100113,28238,129263,51173,,,,,
100113,117739,78046,,,,,,
100113,193766,12861,15209,,,,,
100113,183002,227801,,,,,,
100113,7433,190435,,,,,,
100113,68139,149410,143182,,,,,
100113,166,3,56253,,,,,
100113,5393,173576,109005,,,,,
100113,6513,134042,,,,,,
100113,15797,6575,659,,,,,
100113,3696,154018,899,,,,,
100113,601,217892,15967,,,,,
100113,127578,6897,,,,,,
100113,9,1275,222219,,,,,
100113,232,56946,28637,,,,,
100113,121271,203963,21499,,,,,
100113,9783,43457,239,,,,,
100113,41237,1744,1410,,,,,
100113,132881,1228,140167,,,,,
100113,82,1208,80,,,,,
100113,11951,7395,4038,,,,,
100113,5603,1701,7500,,,,,
100113,93858,161573,,,,,,
100113,110650,133364,96162,,,,,
100113,119971,40,89031,,,,,
100113,182,163675,210506,,,,,
100113,7325,8696,59304,,,,,
100113,3266,121,202993,,,,,
100113,37801,209509,,,,,,
100113,20205,1399,106283,,,,,
100113,810,3265,,,,,,
100113,106124,2334,,,,,,
100113,53646,1316,2883,,,,,
100113,5059,20576,58699,,,,,
100113,207481,88255,14671,,,,,
100113,9849,40,24852,,,,,
100113,128082,1752,34659,,,,,
100113,51204,32231,794,,,,,
100113,67,59858,25,,,,,
100113,177591,82878,21774,,,,,
100113,228905,65954,165068,,,,,
100113,14698,3417,182884,,,,,
100113,220224,217411,6285,,,,,
100113,19383,218508,98381,,,,,
100113,170803,9029,11642,,,,,
100113,74795,2473,8798,,,,,
100113,84767,552,9158,,,,,
100113,69929,5472,213,,,,,
100113,56226,17546,51025,,,,,
100113,4484,23260,55085,,,,,
100113,31286,1192,250,,,,,
100113,67059,7075,51566,,,,,
100113,142641,16751,57349,,,,,
100113,163286,18109,383,,,,,
100113,57,84705,3,,,,,
100113,72999,627,14,,,,,
100113,167800,109968,,,,,,
100113,179090,184566,7662,,,,,
100113,10125,103976,154570,,,,,
100113,53531,169099,,,,,,
100113,5059,20576,58699,,,,,
100113,665,9027,804,,,,,
100113,36225,13283,3609,,,,,
100113,4601,2633,985,,,,,
100113,27461,2380,1152,,,,,
100113,51916,105537,,,,,,
201149,152164,1894,121882,,,,,
201149,225898,141828,178223,,,,,
201149,1525,8140,383,,,,,
201149,125134,154387,57740,,,,,
201149,22435,13742,3289,,,,,
201149,18700,2631,1,,,,,
201149,83233,2430,1937,,,,,
201149,1122,14866,4972,,,,,
201149,59756,174235,126252,,,,,
201149,17881,109770,18689,,,,,
201149,45,228512,2542,,,,,
201149,178717,32533,13843,,,,,
201149,163889,186196,10093,,,,,
201149,1721,2423,7404,,,,,
201149,27983,116791,29,,,,,
201149,199865,181750,372,,,,,
201149,75208,160632,457,,,,,
201149,899,28012,229805,,,,,
201149,1639,7644,3776,,,,,
201149,32125,50541,1764,,,,,
201149,17923,76,22670,,,,,
201149,201800,152851,204754,,,,,
201149,209979,87844,148105,,,,,
201149,87836,58904,63790,,,,,
201149,20952,195650,87946,,,,,
201149,10616,293,7490,,,,,
201149,15458,16,14029,,,,,
201149,48193,23006,46972,,,,,
201149,13083,9699,198001,,,,,
201149,126,55565,53173,,,,,
201149,12372,21392,147961,,,,,
201149,162455,343,131007,,,,,
201149,68191,77878,121415,,,,,
201149,7844,2068,60409,,,,,
201149,7530,219079,25697,,,,,
100391,216618,57363,94962,,,,,
100391,175407,47514,166486,,,,,
100391,178293,7983,11608,,,,,
100391,23536,58165,147437,,,,,
100391,224554,156086,12465,,,,,
100391,225972,4281,394,,,,,
100391,99172,158309,169055,,,,,
100391,1443,60,11746,,,,,
100391,219201,4894,59635,,,,,
100391,5224,27748,10097,,,,,
100391,195408,192342,,,,,,
100391,2420,24545,192955,,,,,
100391,13742,101,37014,,,,,
100391,172390,133073,2527,,,,,
100391,70613,196128,,,,,,
100391,70855,104391,5897,,,,,
100391,182,881,1883,,,,,
100391,1725,229393,204,,,,,
100391,7432,9171,88170,,,,,
100391,2149,221289,219519,,,,,
100391,6160,3404,41930,,,,,
100391,158435,3733,9641,,,,,
100391,30,203871,11325,,,,,
100391,123756,370,188407,,,,,
100391,4746,1405,260,,,,,
100391,1503,120980,2823,,,,,
100391,42863,12235,37474,,,,,
100391,150109,93231,,,,,,
100391,80954,64882,,,,,,
100391,145472,7255,8820,,,,,
100391,14010,8936,141637,,,,,
100391,14407,1446,9353,,,,,
100391,6270,207472,1906,,,,,
